,scores,logFC,PValue,FDR
KLRB1,2.9604726,0.58393216,0.0030716736227635,0.0126928662097666
CCR4,2.9246225,0.20800653,0.0034487418587954,0.014134187945883
POU2AF1,2.8914402,10.390389,0.0038348070810049,0.0152174884166861
NFKB1,2.880276,0.68949926,0.0039732735232831,0.0156428091467842
AKT2,2.8501687,0.67982614,0.0043696048935098,0.0170687691152728
RELA,2.7906463,0.7667296,0.0052602929563169,0.0199253521072611
RORC,2.636957,0.390202,0.0083653440655237,0.0300911657033229
TGFB1,2.617322,0.2817533,0.0088622676318983,0.0316509558282085
STING1,2.5472493,0.30192372,0.010857581936414,0.0379635732042448
KLRG1,2.526644,0.6839887,0.0115158137142561,0.0397097024629521
CD27,2.5027416,0.3417653,0.0123235513054542,0.0422039428268981
EPHA4,2.342242,1.3225433,0.0191682838193826,0.062130232364479
MMRN1,2.3329124,1.0480704,0.0196527360097989,0.0629895384929452
GZMK,2.081241,0.67446375,0.0374118576013612,0.1132225336772626
ITGB2,2.0399923,0.12631282,0.0413510855374642,0.1223404897558113
ZEB1,2.0299451,0.43700728,0.0423621285694142,0.1245944957923947
LEF1,2.0273993,0.71343654,0.042621598936722,0.1246245582945088
BLK,1.9531096,1.4275063,0.0508066124474315,0.1435215040887897
FLT4,1.8984377,1.5282912,0.0576384497376142,0.1584829737239967
MS4A1,1.8133123,2.1219175,0.0697836645428895,0.1906657501171845
CXCR5,1.7894757,0.81033474,0.0735382385633619,0.1998321700091358
STAT1,1.6915041,0.66723424,0.0907405558616411,0.2426218071166876
MMP9,1.677796,0.6704307,0.0933869184709283,0.2467729959188234
GPX3,1.6758186,-1.8441539,0.0937737384491529,0.2467729959188234
SELPLG,1.6139286,0.23120074,0.1065429202773689,0.2745951553540437
CD3G,1.6058403,0.383437,0.1083089966462561,0.2777153760160412
NLRC5,1.5954144,0.4716085,0.1106196102996171,0.2821928834173906
FCRL5,1.5293931,-1.0808111,0.126167037925584,0.3138483530487165
TAP1,1.4665054,0.33501428,0.142510645612487,0.3493005311205448
BMI1,1.459189,1.1006771,0.1445130878709714,0.3524709460267596
HDAC3,1.4392269,0.9188602,0.1500862547340127,0.3642870260534289
SELP,1.4029633,0.42906988,0.1606277868719313,0.3837551738939721
BST2,1.2978282,0.27269027,0.1943463773600255,0.4416963121818763
PIK3CG,1.123169,0.25720912,0.2613657302936778,0.5706483580475905
ATM,1.1205109,0.6677818,0.2624960838005587,0.5706483580475905
IFNAR2,1.0830315,0.35388198,0.2787944083345974,0.5881738572459863
CYBB,1.0177903,2.6289485,0.3087775945215539,0.6250558593553723
CXCL12,0.9773885,1.2872484,0.3283768670023174,0.6541371852635806
RAF1,0.9457763,0.90394115,0.3442627062288123,0.6723880981031491
TSC1,0.9112879,0.66101754,0.362143707099947,0.6911139448472271
HLA-DRA,0.903695,,0.3661571652877981,0.6961162838171067
IL3RA,0.87248486,,0.382943914930878,0.7169457334346518
CD79B,0.8674111,0.42248994,0.3857168045878427,0.7169457334346518
PROX1,0.8165553,-0.598247,0.4141825983920284,0.7461188262728958
