,scores,logFC,PValue,FDR
MKI67,-0.33363816,0.24808572,0.7386526176545433,0.9998475906304526
SMARCA4,-0.34001812,0.3429174,0.7338428794950409,0.9998475906304526
CX3CR1,-0.34164724,2.722713,0.732616393499751,0.9998475906304526
CXCR1,-0.3458114,0.6430923,0.7294844640174866,0.9998475906304526
PDGFB,-0.35691494,0.387935,0.721155495533454,0.9998475906304526
IL22,-0.36664042,-1.4348799,0.713887260928552,0.9998475906304526
ASCL2,-0.36754093,0.8222042,0.7132155757593006,0.9998475906304526
SIGLEC1,-0.3735143,-0.21937828,0.7087657138277828,0.9998475906304526
PTK2,-0.37570825,0.036790013,0.7071338025327805,0.9998475906304526
NRP1,-0.38146058,1.009395,0.7028615113776178,0.9998475906304526
PDGFRA,-0.3855811,0.06764646,0.699806938366718,0.9998475906304526
SELPLG,-0.3876632,-0.115406305,0.6982653101419412,0.9998475906304526
DNMT1,-0.3878815,0.83083713,0.6981037434793375,0.9998475906304526
MMP12,-0.3942587,0.23757504,0.6933900414393825,0.9998475906304526
ENG,-0.40680578,0.2039284,0.6841506339218996,0.9998475906304526
CA9,-0.41175312,0.022627184,0.680520381691307,0.9998475906304526
FLI1,-0.4146211,-1.3384669,0.6784192945510665,0.9998475906304526
DUSP1,-0.41808125,0.056755546,0.6758877207141174,0.9998475906304526
ARG1,-0.4221226,-0.8333925,0.6729355254628757,0.9998475906304526
CCNE1,-0.43125594,-1.996698,0.666282281195949,0.9998475906304526
CLDN5,-0.43262035,-1.3029761,0.6652906040070952,0.9998475906304526
KITLG,-0.43646252,0.040095817,0.6625011900680071,0.9998475906304526
FABP2,-0.43735483,,0.6618540320906129,0.9998475906304526
CMKLR1,-0.44216573,-0.8955666,0.6583692815628938,0.9998475906304526
MMP7,-0.44624802,0.20184475,0.6554180890507015,0.9998475906304526
TREM2,-0.45244518,1.1859202,0.6509483157661287,0.9998475906304526
PDPN,-0.4536431,0.076908186,0.6500857169129989,0.9998475906304526
CCL26,-0.4827459,-5.8588924,0.6292761747987544,0.9998475906304526
PTGS2,-0.49216574,0.02565574,0.6226021756562734,0.9998475906304526
ELN,-0.49420416,-4.9828725,0.6211619944285688,0.9998475906304526
THBD,-0.5020659,0.13530478,0.6156211819095798,0.9998475906304526
ANGPT1,-0.5053432,-1.6965481,0.6133178195098569,0.9998475906304526
SPRY2,-0.51312846,0.15617752,0.607861450665435,0.9998475906304526
